model,run,spearman_rho,dR
True,0,0.067798,9.006952
True,1,0.069079,12.215479
True,2,0.169695,21.077508
True,3,0.058883,13.409692
True,4,0.154408,20.332627
True,5,0.050476,11.922555
True,6,0.081173,13.523344
True,7,0.060481,8.546098
True,8,0.135603,16.721045
True,9,0.147106,15.309819
True,10,0.174643,25.569174
True,11,0.162257,15.789228
True,12,0.107273,11.947308
True,13,0.073087,14.982023
True,14,0.075403,5.572557
True,15,0.065271,14.182190
True,16,0.171231,14.545664
True,17,0.050001,12.207381
True,18,0.055582,12.760178
True,19,0.103784,8.583115
True,20,0.063716,11.620210
True,21,0.160826,14.802720
True,22,0.143741,18.416529
True,23,0.069300,7.709717
True,24,0.182299,16.501427
True,25,0.116758,11.788198
True,26,0.075824,16.971218
True,27,0.142054,17.266243
True,28,0.060659,10.994340
True,29,0.064032,11.826084
True,30,0.095700,18.730662
True,31,0.098779,18.935184
True,32,0.088289,20.443083
True,33,0.104185,18.299358
True,34,0.132590,10.813340
True,35,0.152092,15.310719
True,36,0.076243,12.756592
True,37,0.095833,12.920443
True,38,0.089735,11.724463
True,39,0.139000,20.148319
S1,0,0.169847,21.571570
S1,1,0.115188,8.818799
S1,2,0.169301,15.433803
S1,3,0.171044,17.297365
S1,4,0.110858,14.094550
S1,5,0.144201,12.469972
S1,6,0.136512,15.911298
S1,7,0.156117,15.147471
S1,8,0.123914,13.724851
S1,9,0.119654,16.753799
S1,10,0.162971,18.110115
S1,11,0.137327,13.710470
S1,12,0.151827,14.326848
S1,13,0.118714,14.482548
S1,14,0.149535,15.831284
S1,15,0.133710,22.501455
S1,16,0.101902,12.893542
S1,17,0.110132,15.382842
S1,18,0.147796,12.783583
S1,19,0.153949,13.071324
S1,20,0.096042,16.660539
S1,21,0.158562,8.547107
S1,22,0.124572,11.599632
S1,23,0.116375,15.375796
S1,24,0.076419,9.197626
S1,25,0.142803,17.770839
S1,26,0.143107,13.600656
S1,27,0.144780,17.210116
S1,28,0.156893,14.124798
S1,29,0.161484,13.863089
S1,30,0.166961,14.585405
S1,31,0.124182,13.223257
S1,32,0.126632,20.254530
S1,33,0.116268,17.424070
S1,34,0.150550,17.846140
S1,35,0.107913,18.437130
S1,36,0.153465,14.071049
S1,37,0.104649,17.395872
S1,38,0.161695,16.949714
S1,39,0.153701,13.023412
